
"PP005 - Ethnic group"
"ONS Crown Copyright Reserved [from Nomis on 10 December 2023]"
"Population :","All usual residents in parishes"
"Units      :","Persons"
"Date       :","2021"

"2022 parish","mnemonic","Total","Asian, Asian British or Asian Welsh","Black, Black British, Black Welsh, Caribbean or African","Mixed or Multiple ethnic groups","White","Other ethnic group"

"Blackrod","E04000001",5519,64,28,87,5324,16
"Horwich","E04000002",20929,736,201,366,19513,113
"Westhoughton","E04000003",25343,581,208,504,23931,119
"Ringway","E04000004",56,0,0,3,52,1
"Saddleworth","E04000005",25427,298,85,433,24544,67
"Mossley","E04000008",11579,253,95,192,10997,42
"Carrington (Trafford)","E04000009",486,12,0,25,449,0
"Dunham Massey","E04000010",485,8,0,19,455,3
"Partington","E04000011",7703,180,220,287,6975,41
"Warburton","E04000012",343,24,7,5,307,0
"Haigh","E04000013",1000,15,1,13,963,8
"Shevington","E04000014",9583,77,17,101,9366,22
"Worthington (Wigan)","E04000015",248,3,2,0,243,0
"Cronton","E04000016",1214,19,1,12,1175,7
"Halewood","E04000017",20416,373,147,500,19305,91
"Knowsley","E04000018",11814,172,181,214,11191,56
"Prescot","E04000019",12947,429,143,192,12126,57
"Whiston (Knowsley)","E04000021",12804,407,77,199,12073,48
"Billinge Chapel End","E04000022",5819,26,14,50,5715,14
"Bold","E04000023",3580,49,12,33,3477,9
"Rainford","E04000025",7849,52,17,78,7677,25
"Rainhill","E04000026",10978,261,36,118,10511,52
"Seneley Green","E04000027",4469,21,5,44,4388,11
"Windle","E04000028",2566,16,10,13,2521,6
"Aintree Village","E04000029",6672,36,16,28,6585,7
"Ince Blundell","E04000030",462,4,0,3,454,1
"Little Altcar","E04000031",1053,9,1,6,1035,2
"Lydiate","E04000032",6187,44,7,88,6039,9
"Maghull","E04000033",20788,105,60,222,20366,35
"Melling","E04000034",3362,26,69,37,3224,6
"Sefton","E04000035",1151,17,5,12,1109,8
"Thornton (Sefton)","E04000036",2186,12,1,30,2125,18
"Hightown","E04000037",2012,18,0,20,1972,2
"Formby","E04000038",22110,209,54,279,21481,87
"Billingley","E04000039",191,4,0,0,187,0
"Cawthorne","E04000041",1157,7,1,7,1140,2
"Dunford","E04000042",675,5,0,7,663,0
"Great Houghton (Barnsley)","E04000043",2487,3,0,11,2473,0
"Gunthwaite and Ingbirchworth","E04000044",730,8,4,8,710,0
"High Hoyland","E04000045",126,1,0,0,125,0
"Hunshelf","E04000046",357,0,4,5,347,1
"Langsett","E04000047",184,1,0,0,183,0
"Little Houghton (Barnsley)","E04000048",695,11,6,7,668,3
"Oxspring","E04000049",1194,18,9,20,1147,0
"Penistone","E04000050",12681,74,29,116,12442,20
"Shafton","E04000051",3417,17,19,23,3354,4
"Silkstone","E04000052",2964,19,3,23,2903,16
"Stainborough","E04000053",349,0,0,1,346,2
"Tankersley","E04000054",1927,26,19,28,1852,2
"Thurgoland","E04000055",1988,17,4,22,1933,12
"Wortley","E04000056",667,2,1,2,660,2
"Adwick upon Dearne","E04000057",272,0,0,2,270,0
"Armthorpe","E04000058",14192,218,85,236,13580,73
"Askern","E04000059",6077,53,28,86,5891,19
"Auckley","E04000060",4963,99,33,141,4681,9
"Austerfield","E04000061",550,10,1,3,535,1
"Barnburgh","E04000062",1850,6,2,10,1830,2
"Barnby Dun with Kirk Sandall","E04000063",8382,54,40,80,8197,11
"Bawtry","E04000064",3408,75,20,40,3260,13
"Blaxton","E04000065",1322,12,8,36,1263,3
"Braithwell","E04000066",1083,7,4,8,1063,1
"Brodsworth","E04000067",3007,29,4,61,2902,11
"Burghwallis","E04000068",304,5,0,6,293,0
"Cadeby (Doncaster)","E04000069",177,0,0,0,177,0
"Cantley","E04000070",3873,161,49,72,3556,35
"Clayton with Frickley","E04000071",194,0,1,1,191,1
"Conisbrough Parks","E04000072",418,2,0,5,410,1
"Denaby","E04000073",326,2,1,1,322,0
"Edenthorpe","E04000074",5036,103,28,39,4843,23
"Edlington","E04000075",8366,74,108,89,8033,62
"Fenwick","E04000076",149,0,0,0,149,0
"Finningley","E04000077",1822,47,5,26,1743,1
"Fishlake","E04000078",625,0,0,2,622,1
"Hampole","E04000079",174,0,0,4,170,0
"Hatfield (Doncaster)","E04000080",17111,442,141,212,16230,86
"Hickleton","E04000081",218,1,1,2,212,2
"High Melton","E04000082",244,6,1,1,235,1
"Hooton Pagnell","E04000083",186,2,1,5,176,2
"Kirk Bramwith","E04000084",230,2,0,0,228,0
"Loversall","E04000085",127,5,0,1,121,0
"Marr","E04000086",169,0,1,0,166,2
"Moss","E04000087",389,5,4,7,373,0
"Norton (Doncaster)","E04000088",4501,12,8,20,4457,4
"Owston","E04000089",133,1,0,4,128,0
"Rossington","E04000090",13902,117,95,143,13504,43
"Sprotbrough and Cusworth","E04000091",11589,175,40,133,11217,24
"Stainforth (Doncaster)","E04000092",6374,60,51,67,6165,31
"Stainton (Doncaster)","E04000093",316,12,9,0,295,0
"Sykehouse","E04000094",466,0,6,1,459,0
"Thorne","E04000095",18108,126,65,140,17669,108
"Thorpe in Balne","E04000096",187,7,0,7,173,0
"Tickhill","E04000097",5165,35,13,53,5049,15
"Wadworth","E04000098",1146,5,6,8,1121,6
"Warmsworth","E04000099",3691,52,15,43,3557,24
"Brinsworth","E04000103",8711,371,106,103,8049,82
"Firbeck","E04000107",308,1,0,6,300,1
"Gildingwells","E04000108",81,0,0,0,81,0
"Harthill with Woodall","E04000109",1958,18,5,27,1904,4
"Hooton Levitt","E04000110",118,1,0,0,116,1
"Hooton Roberts","E04000111",175,1,0,0,174,0
"Letwell","E04000112",126,1,0,1,124,0
"North and South Anston","E04000113",9182,63,25,68,8997,29
"Ravenfield","E04000115",2840,16,2,29,2790,3
"Thorpe Salvin","E04000116",441,7,0,3,431,0
"Thurcroft","E04000118",8276,79,106,132,7946,13
"Todwick","E04000119",1640,18,3,10,1603,6
"Ulley","E04000121",177,0,0,0,173,4
"Wales","E04000122",7509,84,48,85,7273,19
"Whiston (Rotherham)","E04000124",4872,310,53,83,4371,55
"Maltby (Rotherham)","E04000128",16487,134,47,137,16107,62
"Bradfield (Sheffield)","E04000129",17426,188,201,314,16650,73
"Ecclesfield","E04000130",31211,408,273,475,29910,145
"Stocksbridge","E04000131",13279,98,85,154,12900,42
